case_id,amount_due,days_overdue,monthly_income,monthly_expense,payment_history_score,missed_payments,previous_recovery_rate,contact_success_rate,last_payment_days_ago,account_age_days,reminders_received,digital_engagement,hardship_flag,recovered,recovery_days
32,13119.07,102,50779.11,45211.21,63.03,2,0.898,0.411,92,826,4,0.013,0,0,
33,2948.94,31,73382.82,61806.13,67.58,0,0.054,0.801,165,2479,4,0.495,0,0,
34,1279.0,123,29048.29,19331.54,45.36,2,0.285,0.214,75,1392,2,0.017,0,0,
35,5756.22,88,54071.5,27274.52,90.24,2,0.866,0.709,31,723,5,0.843,0,1,19.0
36,1122.51,180,29079.53,15884.32,39.13,2,0.121,0.045,23,1854,4,0.176,0,0,
37,3523.08,138,62116.51,23025.1,30.54,4,0.276,0.366,15,97,1,0.524,1,0,
38,621.58,6,26616.94,11325.76,47.12,1,0.749,0.766,108,312,1,0.601,0,1,30.0
39,1030.14,129,45128.01,24876.6,98.14,0,0.123,0.561,155,1360,4,0.344,0,0,
40,3489.41,111,32403.98,27423.68,65.5,1,0.831,0.318,166,1137,5,0.823,0,0,
41,5381.77,174,48703.9,39812.13,52.15,2,0.755,0.809,176,1582,4,0.884,1,0,
42,3418.97,108,23803.98,14201.52,68.87,3,0.24,0.002,168,1405,0,0.978,0,0,
43,2717.54,74,31609.77,27475.13,31.82,0,0.122,0.683,157,1542,7,0.986,0,0,
44,2342.84,105,35372.2,24299.39,57.45,1,0.872,0.309,117,979,5,0.126,0,0,
45,913.41,158,21220.95,19194.91,83.9,2,0.058,0.866,167,1042,7,0.875,0,0,
46,1675.93,117,26800.87,9743.63,34.7,1,0.456,0.58,22,1101,3,0.942,0,0,
47,2062.12,79,15997.49,13891.23,85.58,1,0.388,0.461,32,341,5,0.463,0,0,
48,6944.45,88,43852.42,33981.94,31.95,3,0.615,0.863,56,1384,3,0.75,0,0,
49,3924.11,63,54019.63,29880.75,79.59,0,0.853,0.636,10,849,1,0.881,0,1,26.0
50,727.47,74,18111.53,13925.58,24.37,0,0.284,0.641,142,1346,7,0.608,0,0,
51,3863.26,129,20220.17,15593.44,52.1,0,0.08,0.542,6,2341,2,0.44,0,1,15.0
52,2190.61,126,22484.79,16001.68,78.61,1,0.77,0.759,20,148,4,0.654,1,0,
53,1734.48,20,19212.55,17221.78,49.7,6,0.491,0.664,80,2456,3,0.669,0,0,
54,4862.66,29,44341.57,39414.98,45.0,3,0.272,0.749,99,1111,6,0.446,0,1,28.0
55,6800.83,162,25695.93,12534.16,58.27,5,0.364,0.403,132,803,7,0.079,1,0,
56,6279.36,130,41154.93,20229.1,59.87,4,0.933,0.138,109,1796,5,0.471,0,0,
57,1523.29,54,24990.26,15632.46,23.34,2,0.012,0.771,94,195,0,0.533,0,0,
58,2327.69,89,30632.21,23181.74,30.98,2,0.624,0.46,54,1693,0,0.036,1,0,
59,3885.51,18,61037.65,49083.43,63.62,2,0.13,0.529,177,1382,0,0.756,0,1,20.0
60,6505.71,30,20378.82,19228.2,60.44,2,0.885,0.22,72,2322,1,0.24,0,0,
61,2031.77,8,27421.24,13905.41,54.52,2,0.596,0.602,90,2138,3,0.929,0,0,
62,2569.52,170,44749.33,30100.22,52.53,2,0.274,0.988,169,260,7,0.643,0,0,
63,1230.2,157,30968.95,14701.55,24.09,1,0.638,0.537,168,348,7,0.773,1,0,
64,1144.86,51,39907.81,34407.46,25.79,0,0.483,0.093,34,2437,7,0.42,0,0,
65,5710.26,83,36347.04,20866.18,89.66,4,0.535,0.558,168,505,5,0.084,0,0,
66,8821.9,120,17096.57,15795.41,52.85,1,0.241,0.926,128,954,6,0.734,1,0,
67,2814.08,101,73096.91,57216.16,50.82,5,0.883,0.312,55,158,7,0.855,0,0,
68,6653.02,152,34555.84,27521.76,24.5,1,0.949,0.959,59,1209,5,0.141,0,0,
69,3981.08,138,80610.71,31395.59,29.8,2,0.781,0.232,113,2434,1,0.646,0,1,23.0
70,1779.17,144,43003.6,30090.25,38.87,1,0.09,0.936,151,645,3,0.133,0,0,
71,3980.32,121,70145.75,26407.69,76.34,3,0.917,0.824,122,2402,1,0.718,0,0,
72,10202.92,50,60544.76,23930.29,94.01,4,0.415,0.617,30,1598,1,0.182,1,0,
73,2896.73,41,67133.67,61750.3,65.89,2,0.386,0.927,143,175,3,0.314,0,0,
74,10422.42,54,32487.39,12654.97,67.86,5,0.1,0.633,10,523,3,0.307,0,0,
75,366.58,44,88748.31,80894.74,58.04,3,0.746,0.097,65,427,1,0.132,0,0,
76,5753.26,60,28681.33,14412.85,32.49,0,0.025,0.111,117,167,7,0.311,0,0,
77,3195.94,69,43536.03,15751.46,47.53,2,0.763,0.135,142,1893,7,0.098,1,0,
78,2346.77,79,55913.75,52152.25,94.0,1,0.036,0.997,32,2146,4,0.124,1,1,24.0
79,3208.02,23,177393.09,111440.15,51.87,3,0.135,0.593,80,1510,3,0.615,1,0,
80,607.86,94,62753.27,33933.11,41.79,2,0.56,0.377,93,1375,2,0.632,0,0,
81,2500.54,71,27916.11,16467.23,32.04,1,0.479,0.117,34,219,2,0.843,1,0,
82,3966.7,20,41551.07,37641.01,58.19,6,0.4,0.543,141,2415,1,0.415,0,0,
83,9723.64,39,18524.44,9289.98,91.27,3,0.781,0.344,129,1060,1,0.421,0,1,6.0
84,1969.2,3,75732.36,68706.52,86.73,5,0.918,0.081,154,813,3,0.807,0,1,22.0
85,1561.19,3,7605.37,3033.89,43.19,4,0.066,0.318,111,1636,4,0.559,0,0,
86,1995.39,159,33314.85,13527.73,64.11,2,0.456,0.863,4,2166,7,0.54,0,0,
87,6200.11,7,108863.45,70391.12,53.92,1,0.405,0.504,28,1407,7,0.948,0,0,
88,3877.71,129,53097.84,29251.94,35.47,6,0.773,0.347,120,1158,1,0.244,0,0,
89,1951.18,155,46392.33,16804.5,96.0,2,0.123,0.835,175,2065,7,0.04,1,0,
90,4494.52,70,20012.17,13522.06,65.04,2,0.5,0.44,134,1419,2,0.607,0,1,26.0
91,3221.69,167,70644.8,36374.46,51.08,1,0.345,0.14,68,1280,0,0.49,0,1,2.0
92,6469.9,108,22989.45,15399.35,32.77,2,0.525,0.546,177,371,2,0.91,0,0,
93,1699.96,3,23084.8,16250.24,99.62,2,0.766,0.817,163,1280,3,0.36,0,1,2.0
94,2293.58,2,70582.92,33358.65,42.85,4,0.788,0.548,125,1520,7,0.084,0,1,24.0
95,2178.33,175,22610.59,19018.64,77.42,2,0.081,0.021,77,2479,5,0.529,0,0,
96,924.44,96,17470.38,11233.23,96.72,1,0.025,0.251,155,350,4,0.09,0,0,
97,3777.8,20,22425.99,17650.8,38.53,1,0.898,0.172,175,1266,2,0.571,0,0,
98,3673.29,27,39918.23,28236.83,37.84,3,0.017,0.266,36,1150,3,0.947,0,1,2.0
99,2993.18,84,28247.63,19341.39,88.4,1,0.997,0.7,62,1449,0,0.615,0,0,
100,2470.88,19,90070.72,75019.8,80.43,6,0.105,0.021,136,1761,4,0.029,0,0,
101,960.74,63,36941.77,20173.12,60.61,3,0.0,0.767,76,2028,1,0.03,0,0,
102,2129.16,43,19533.94,14990.39,88.87,2,0.556,0.006,33,1793,5,0.36,0,0,
103,2266.13,133,14271.24,6739.35,69.25,1,0.438,0.142,102,316,5,0.662,0,0,
104,1568.98,119,56967.56,43003.55,44.26,2,0.156,0.297,97,2288,1,0.368,0,0,
105,2620.11,148,42197.84,24073.35,59.67,3,0.848,0.567,176,1952,2,0.274,0,0,
106,4118.49,112,49226.58,17695.27,56.25,0,0.26,0.167,48,2129,5,0.833,0,0,
107,13479.82,74,29334.86,25782.17,45.85,0,0.174,0.733,106,834,3,0.187,0,0,
108,3427.76,150,39226.18,15886.82,81.84,2,0.724,0.66,164,1033,4,0.736,0,0,
109,3663.01,38,65862.39,42711.48,63.15,3,0.053,0.482,71,2241,4,0.302,1,0,
110,2808.61,92,36416.08,29040.44,49.52,1,0.73,0.987,167,2471,2,0.96,0,1,26.0
111,642.25,140,20462.57,8305.45,87.39,2,0.144,0.932,148,1017,2,0.494,0,0,
112,2918.39,103,52124.42,32818.29,63.79,1,0.81,0.362,158,1502,5,0.76,0,0,
113,3128.11,61,30501.27,13318.02,30.58,1,0.151,0.059,152,1111,7,0.636,1,0,
114,21388.18,99,58870.66,52804.27,83.44,4,0.9,0.006,41,148,2,0.57,0,0,
115,2555.78,48,36780.97,23895.1,75.15,1,0.216,0.757,107,1396,4,0.866,0,0,
116,3794.23,145,55877.01,35079.85,98.68,2,0.407,0.711,52,977,4,0.925,1,0,
117,2899.32,52,46794.01,33096.95,77.1,1,0.054,0.211,24,2091,3,0.306,0,0,
118,1170.35,46,69494.95,42928.7,61.31,3,0.226,0.994,104,2482,1,0.362,1,0,
119,7437.26,56,58749.48,54379.41,91.87,0,0.325,0.173,8,1479,7,0.116,1,0,
120,5440.07,29,18912.83,14813.62,47.36,1,0.947,0.664,141,2019,6,0.655,0,1,3.0
121,5612.92,73,14231.09,12214.82,82.53,2,0.759,0.385,48,861,2,0.152,0,0,
122,1440.13,179,34944.73,14599.19,24.47,4,0.529,0.308,31,1487,6,0.676,1,0,
123,9156.65,127,49065.48,43088.3,33.64,2,0.207,0.829,140,2468,0,0.475,0,0,
124,971.19,154,25268.9,16298.85,65.8,3,0.532,0.174,116,927,0,0.422,1,0,
125,4767.06,75,45380.11,33421.08,73.21,4,0.886,0.162,24,1205,0,0.655,0,0,
126,17194.84,29,44434.08,31969.73,59.28,3,0.993,0.82,118,2038,5,0.201,0,1,6.0
127,1349.61,8,35014.14,25489.08,75.53,4,0.685,0.736,174,1789,2,0.23,1,0,
128,1894.98,25,26441.21,20211.09,98.69,4,0.608,0.615,107,332,3,0.435,0,0,
129,3228.33,149,21814.12,10341.07,71.12,2,0.599,0.262,31,2436,5,0.069,1,0,
130,1992.65,4,125440.51,82655.43,82.29,3,0.914,0.313,68,2145,5,0.775,0,1,9.0
131,862.18,36,12577.16,6139.4,36.65,1,0.566,0.226,57,2050,1,0.118,0,0,
132,3149.03,171,19547.03,8082.14,60.4,4,0.4,0.209,139,2152,6,0.43,0,0,
133,1274.31,83,133283.05,103231.14,91.85,2,0.792,0.576,62,2239,1,0.361,0,0,
134,4354.1,154,21665.8,14512.05,87.77,2,0.873,0.768,166,1928,1,0.622,0,0,
135,1428.61,36,27410.45,10601.52,32.23,4,0.553,0.368,110,1888,3,0.035,0,0,
136,10300.5,151,51023.27,39861.84,91.59,1,0.52,0.558,151,555,1,0.737,0,0,
137,1593.04,169,46190.76,22051.65,65.88,1,0.211,0.627,180,1889,7,0.362,1,0,
138,2303.88,75,45321.24,30306.02,63.31,10,0.9,0.965,134,476,5,0.033,0,0,
139,5714.8,93,76703.29,35389.89,69.43,2,0.09,0.307,102,170,4,0.221,0,0,
140,1113.55,172,22493.37,17035.37,76.54,2,0.209,0.853,171,277,6,0.825,0,0,
141,3575.88,50,39635.43,16212.65,33.29,5,0.737,0.258,28,379,2,0.708,0,1,30.0
142,8482.11,9,35353.46,24501.91,42.19,1,0.383,0.501,75,2123,2,0.138,0,0,
143,823.87,175,23399.86,21224.81,37.4,3,0.141,0.874,116,933,0,0.567,0,0,
144,3455.45,113,38249.12,30333.02,43.94,2,0.778,0.959,29,1317,2,0.161,0,0,
145,3669.85,169,48058.32,38510.57,81.8,5,0.504,0.185,126,2021,4,0.251,0,0,
146,5571.72,13,48651.73,40439.7,74.21,1,0.046,0.87,43,747,0,0.772,0,0,
147,1108.14,81,61989.36,58355.63,95.44,2,0.476,0.496,98,682,1,0.668,0,0,
148,1036.53,102,35596.19,12507.91,94.78,0,0.713,0.396,136,1044,4,0.445,0,1,5.0
149,4525.82,66,21945.47,14878.96,95.54,2,0.77,0.064,62,104,7,0.198,1,0,
150,3780.41,161,18177.88,16200.41,89.52,1,0.529,0.718,156,2379,6,0.962,0,0,
151,3642.39,78,28833.54,24556.43,40.06,4,0.184,0.934,165,884,2,0.703,0,0,
152,3933.0,27,18465.67,7471.16,32.91,1,0.517,0.094,170,2469,5,0.557,0,0,
153,1730.18,50,25454.48,13556.59,37.94,3,0.274,0.671,167,2009,4,0.598,0,0,
154,3589.62,59,20112.39,8932.9,61.13,4,0.575,0.415,172,1052,6,0.276,0,1,14.0
155,3768.6,100,26175.84,22703.27,96.69,1,0.796,0.724,117,2196,5,0.251,0,0,
156,1683.31,78,88585.45,62302.18,79.4,2,0.717,0.002,50,2470,2,0.845,0,1,10.0
157,13261.49,155,34143.5,28775.02,97.53,2,0.892,0.086,78,1453,0,0.516,1,0,
158,4354.94,123,79709.43,59824.85,61.85,4,0.084,0.499,64,475,2,0.848,1,0,
159,1149.36,72,44749.58,28380.06,79.81,2,0.708,0.971,119,1269,0,0.559,0,1,29.0
160,5040.41,162,26603.22,24737.65,87.31,4,0.63,0.204,62,2436,0,0.324,0,0,
161,1366.84,49,34144.34,29042.85,42.11,3,0.365,0.427,177,1140,2,0.429,0,0,
162,5595.22,145,15909.3,13646.48,37.32,1,0.937,0.294,154,613,0,0.871,0,0,
163,7531.7,122,30774.76,28777.12,29.99,1,0.678,0.533,8,1478,3,0.17,0,0,
164,1546.04,116,18855.92,8286.47,23.25,2,0.779,0.073,66,461,4,0.956,0,0,
165,6442.69,70,48985.33,42537.69,58.85,4,0.611,0.628,19,480,7,0.224,1,0,
166,4147.35,166,29218.41,23192.16,52.2,0,0.423,0.769,18,2406,0,0.426,0,1,19.0
167,5753.99,1,31200.64,11817.44,90.0,0,0.557,0.941,46,151,6,0.147,0,0,
168,13594.69,166,29467.19,12054.23,21.14,1,0.425,0.394,124,326,7,0.743,0,0,
169,2449.62,26,56908.33,52126.04,29.25,3,0.295,0.912,112,956,0,0.15,0,0,
170,1631.1,25,23273.77,12479.96,39.77,2,0.264,0.484,83,286,2,0.373,0,0,
171,1463.21,109,22518.21,9936.11,68.59,0,0.565,0.737,109,1578,0,0.089,0,1,9.0
172,1552.08,116,43100.87,38665.32,78.57,2,0.85,0.39,175,1220,3,0.007,0,0,
173,2802.64,58,62515.14,51607.16,66.19,1,0.036,0.878,28,2436,2,0.881,0,0,
174,3916.37,173,42857.65,28166.16,22.09,2,0.27,0.383,176,1190,5,0.601,1,1,29.0
175,3719.53,22,108383.0,83174.72,77.58,1,0.014,0.752,13,2095,1,0.126,1,0,
176,5777.62,176,22762.57,21605.69,72.51,1,0.31,0.076,46,1164,6,0.462,1,0,
177,3012.13,13,12292.21,6010.08,38.5,2,0.138,0.536,175,387,5,0.133,0,0,
178,9535.98,97,46333.25,23953.82,33.1,3,0.432,0.319,92,1146,3,0.512,1,0,
179,2412.15,153,33636.15,15676.79,47.65,1,0.202,0.322,11,879,3,0.743,1,0,
180,26268.75,10,45971.73,23710.52,21.57,4,0.659,0.257,154,2215,0,0.258,0,0,
181,4917.39,18,55725.2,23105.96,35.18,1,0.822,0.197,23,1960,2,0.338,1,1,27.0
182,1501.58,55,16938.14,14483.15,38.77,1,0.143,0.612,12,2077,3,0.867,1,0,
183,1265.58,155,31465.57,14086.6,56.3,3,0.309,0.462,26,2481,4,0.025,0,0,
184,4385.14,56,48680.33,28212.0,38.16,1,0.008,0.272,63,649,6,0.273,0,0,
185,2492.97,56,41263.91,28622.59,98.16,3,0.412,0.25,59,1019,5,0.06,0,0,
186,5277.46,49,33256.24,28751.61,78.72,1,0.579,0.557,44,1698,2,0.005,0,0,
187,4352.87,154,52529.24,22440.44,20.83,2,0.604,0.871,52,1202,3,0.149,0,0,
188,2812.24,113,59773.86,44105.92,41.84,5,0.763,0.628,74,2281,5,0.607,0,1,14.0
189,1514.08,116,13022.18,10980.19,94.19,0,0.673,0.471,4,1891,7,0.878,0,0,
190,887.25,2,79848.88,69743.72,22.63,1,0.39,0.851,71,1501,4,0.287,1,0,
191,2085.55,74,19704.5,17768.01,71.81,3,0.659,0.557,58,2386,1,0.052,0,0,
192,5914.24,84,48909.23,19291.62,71.72,2,0.269,0.898,10,324,0,0.61,0,0,
193,3537.85,38,30782.44,19374.1,79.91,2,0.674,0.975,85,1960,5,0.21,0,1,4.0
194,1100.38,131,68013.79,41614.64,65.65,2,0.929,0.982,139,1199,2,0.303,0,0,
195,3423.93,123,52079.8,18327.33,83.83,4,0.661,0.023,147,988,7,0.163,1,0,
196,4057.22,108,48759.93,38340.61,83.72,0,0.246,0.611,93,384,0,0.095,0,0,
197,1469.85,53,40578.54,32782.98,21.11,3,0.528,0.412,102,1766,6,0.228,0,0,
198,3371.05,172,27759.71,13352.65,80.28,0,0.728,0.548,64,1058,7,0.859,1,0,
199,3123.06,127,22135.9,19149.64,72.46,0,0.788,0.558,78,1751,0,0.681,0,1,16.0
200,1194.67,23,18187.27,9817.79,84.08,0,0.898,0.5,99,1624,4,0.96,0,0,
201,3968.84,28,26559.81,14257.82,63.39,3,0.783,0.855,155,1354,2,0.524,0,0,
202,4668.66,91,57300.57,39276.05,52.78,3,0.229,0.758,56,2362,1,0.977,1,1,22.0
203,7090.0,160,22005.29,10573.99,32.69,1,0.645,0.173,171,950,6,0.721,0,0,
204,6926.03,20,66470.22,53290.16,77.24,5,0.888,0.849,47,1556,1,0.228,0,1,12.0
205,990.16,134,21744.06,11009.54,93.37,3,0.778,0.458,12,519,0,0.109,1,0,
206,1407.74,3,33449.95,23341.78,28.22,0,0.051,0.808,42,2280,6,0.381,1,1,26.0
207,4500.88,3,45503.71,22598.08,50.43,2,0.47,0.181,99,932,4,0.931,0,0,
208,4496.38,23,60673.99,33738.8,95.25,1,0.516,0.78,98,805,4,0.025,0,1,29.0
209,4500.92,73,30233.41,27508.73,74.37,7,0.827,0.07,35,1141,3,0.509,0,0,
210,65002.77,33,46194.88,29081.7,71.01,2,0.784,0.34,89,1641,0,0.409,0,0,
211,4706.56,164,40387.91,30603.6,92.01,3,0.368,0.119,167,2110,4,0.746,1,0,
212,7394.21,64,32051.86,15448.62,63.48,2,0.544,0.107,96,1275,2,0.536,0,0,
213,6394.55,140,21604.49,16628.67,58.61,1,0.228,0.516,165,1146,6,0.244,0,1,2.0
214,5019.64,26,45252.91,42387.52,99.5,1,0.044,0.95,29,2362,7,0.468,0,0,
215,2316.43,37,36824.97,28506.77,65.78,0,0.426,0.05,119,148,0,0.479,1,0,
216,5470.77,114,30953.09,19915.24,92.59,4,0.676,0.965,14,1648,6,0.46,0,1,4.0
217,1606.38,176,38460.53,16203.24,81.36,3,0.532,0.125,31,2341,1,0.583,0,0,
218,2466.47,74,48318.89,32473.22,64.34,2,0.582,0.846,30,1335,4,0.159,0,0,
219,2021.73,44,15678.77,7753.81,62.11,1,0.16,0.178,122,773,4,0.938,0,1,12.0
220,3182.75,139,27635.94,22002.46,69.49,1,0.91,0.396,19,2231,6,0.291,1,0,
221,18991.12,24,22312.62,12195.25,81.7,1,0.718,0.873,37,1325,1,0.472,0,0,
222,669.27,92,23172.88,10262.52,58.47,4,0.853,0.822,72,2010,2,0.632,0,1,12.0
223,5161.63,94,24478.45,10645.38,77.82,3,0.845,0.359,11,493,3,0.101,0,1,27.0
224,820.43,19,62893.99,27589.11,82.64,3,0.428,0.334,1,118,7,0.6,0,1,6.0
225,2043.57,56,42899.74,32895.8,72.77,2,0.806,0.252,124,1947,5,0.567,0,0,
226,7123.54,49,20952.57,7957.15,23.36,2,0.455,0.582,98,2213,6,0.468,0,0,
227,3138.26,119,39851.38,36976.23,85.14,1,0.525,0.471,126,1966,3,0.08,0,0,
228,1258.66,109,44986.16,21082.66,45.56,1,0.438,0.807,162,1823,5,0.489,0,0,
229,1682.03,57,30353.02,16633.63,36.26,3,0.143,0.87,46,2330,4,0.798,1,0,
230,5134.19,95,19078.89,8628.37,69.9,2,0.721,0.062,79,2414,5,0.028,0,0,
231,1661.88,122,21071.89,18543.87,73.23,2,0.19,0.629,117,1877,7,0.418,0,0,
232,3544.55,11,16430.9,6108.47,50.53,1,0.991,0.726,35,1663,4,0.902,0,1,18.0
233,3091.64,81,105870.17,82560.59,70.46,2,0.989,0.635,8,593,6,0.488,0,0,
234,1769.97,145,15300.9,6387.93,61.09,2,0.65,0.943,14,366,2,0.349,0,0,
235,16566.79,114,19397.43,18423.67,73.75,0,0.368,0.572,162,2307,1,0.245,1,0,
236,4949.96,15,35891.53,20918.43,60.81,3,0.748,0.737,12,665,7,0.029,0,0,
237,589.86,160,14563.93,7914.52,27.85,1,0.199,0.512,171,899,0,0.773,1,1,26.0
238,3460.48,168,20344.66,11891.33,22.35,2,0.462,0.692,159,1403,3,0.902,0,0,
239,1755.61,139,38463.49,21898.07,56.9,2,0.991,0.928,93,223,0,0.475,1,0,
240,5895.51,122,40199.12,18282.9,25.22,3,0.293,0.543,175,98,1,0.477,0,0,
241,1581.27,13,44571.91,38906.11,29.41,1,0.303,0.613,101,504,1,0.798,1,0,
242,2719.52,81,51933.72,37900.1,67.22,2,0.119,0.098,152,1981,1,0.408,0,0,
243,4464.85,28,35590.56,19893.29,89.52,3,0.856,0.643,80,164,6,0.63,0,1,3.0
244,5958.68,156,25733.9,14796.11,76.33,5,0.587,0.239,101,377,5,0.311,0,0,
245,1141.12,176,45647.24,18005.34,68.32,1,0.663,0.176,91,2233,5,0.168,0,0,
246,2281.07,16,72784.02,42451.74,85.37,1,0.513,0.669,147,2467,5,0.102,0,1,6.0
247,2038.65,36,49455.09,40056.46,75.3,2,0.564,0.941,81,1915,2,0.413,0,1,24.0
248,1767.53,168,23579.2,14017.77,61.22,6,0.416,0.118,40,546,0,0.857,0,0,
249,12238.76,148,49369.2,30631.8,87.75,0,0.859,0.148,134,1400,4,0.963,0,0,
250,4121.55,91,48031.1,22157.95,47.91,3,0.541,0.517,145,1608,5,0.051,0,0,
251,1087.13,97,19564.15,8648.4,45.64,2,0.716,0.726,89,318,0,0.659,0,0,
252,6212.32,2,32321.12,25001.21,89.32,3,0.92,0.29,34,2484,2,0.822,0,1,27.0
253,16280.53,2,48209.42,36569.27,23.93,0,0.67,0.528,156,1325,6,0.976,1,1,17.0
254,6808.81,128,64898.59,46995.51,45.5,2,0.019,0.902,112,604,4,0.655,0,0,
255,884.04,101,26283.95,21384.04,46.53,3,0.964,0.334,109,1437,6,0.82,0,1,9.0
256,2023.56,69,17524.65,11053.56,47.35,2,0.841,0.57,107,1957,5,0.974,0,0,
257,8213.45,70,46830.92,19892.17,47.31,3,0.142,0.828,102,272,4,0.742,0,1,8.0
258,1692.33,50,32077.99,21737.07,35.04,4,0.922,0.054,8,1143,0,0.499,1,0,
259,4251.62,96,40938.77,20557.67,57.07,1,0.502,0.194,36,863,2,0.976,0,0,
260,5539.76,176,39940.19,30788.44,51.08,0,0.398,0.159,23,2370,5,0.961,0,0,
261,1420.06,152,39114.9,29085.47,66.09,4,0.542,0.756,178,118,0,0.622,1,0,
262,2842.33,137,29531.44,14806.02,61.79,3,0.397,0.315,161,551,7,0.485,0,0,
263,222.96,122,57141.78,49672.8,42.06,3,0.731,0.191,105,1450,2,0.789,0,0,
264,1313.55,168,23755.44,21057.88,43.12,1,0.127,0.725,23,646,3,0.081,0,0,
265,2435.59,168,41466.91,31610.47,58.38,1,0.302,0.433,133,2145,7,0.179,0,0,
266,1098.58,130,44138.47,26560.16,76.37,3,0.973,0.349,152,2161,6,0.37,0,0,
267,11003.06,73,32933.11,23348.21,77.95,1,0.179,0.011,49,1547,0,0.192,0,0,
268,949.45,134,53993.8,29687.91,64.26,0,0.748,0.774,176,693,7,0.733,1,0,
269,2096.37,147,28779.85,15996.54,86.49,4,0.729,0.363,20,186,2,0.994,0,1,8.0
270,3309.63,97,114508.93,73734.28,86.8,1,0.65,0.2,97,1973,0,0.362,0,1,4.0
271,9442.9,121,40876.04,21963.89,92.02,2,0.861,0.557,148,986,0,0.982,0,0,
272,945.12,19,67450.96,52777.62,68.51,1,0.006,0.609,14,912,5,0.887,0,0,
273,7559.28,161,56614.82,24596.28,81.33,3,0.036,0.0,68,1367,1,0.076,0,0,
274,3005.46,117,73996.37,29818.21,59.21,2,0.933,0.656,15,1440,5,0.319,0,1,20.0
275,1359.39,61,37950.6,25355.29,74.16,0,0.516,0.667,129,2136,7,0.046,0,0,
276,4314.27,30,63803.78,39917.52,99.49,2,0.396,0.305,22,1452,4,0.126,0,1,14.0
277,3495.56,117,75206.94,42274.29,91.51,0,0.572,0.894,22,1788,3,0.772,0,0,
278,1844.25,141,41940.15,37031.03,63.19,1,0.672,0.047,143,382,4,0.798,0,0,
279,3152.16,146,25609.46,16972.19,89.23,5,0.558,0.682,104,1781,6,0.091,0,0,
280,2190.2,130,90660.74,77090.04,20.52,1,0.595,0.312,129,1270,0,0.118,0,0,
